stopid,stopname,lat,lon
10074079,Rua Engenheiro Kurt Zoet,-21.67821121,-43.31955338
10069575,"Avenida Juiz de Fora, 497",-21.73079872,-43.3567276
10071016,"Avenida Juiz de Fora, 1269",-21.69037781,-43.34967123
10071576,"Rua Diomar Monteiro, 459",-21.69039561,-43.34487534
10071615,"Rua Diomar Monteiro, 2455",-21.67796173,-43.32085746
10071635,"Rua Diomar Monteiro, 520",-21.68480353,-43.32806814
10071618,"Rua Diomar Monteiro, 581",-21.67590072,-43.32075578
10069579,"Avenida Juiz de Fora, 1327",-21.72585106,-43.35506058
10071493,"Avenida Orlando Riani, 2195",-21.66681168,-43.30581653
10074070,Rua José Abdo Hallack,-21.67979556,-43.31834221
10073420,"Rua Alencar Tristão, 217",-21.73810364,-43.36134067
10070778,"Avenida Barão do Rio Branco, 5164",-21.78472292,-43.34293075
10073423,"Rua Alencar Tristão, 333",-21.73707059,-43.36005307
10069583,"Avenida Juiz de Fora, 629",-21.71150208,-43.35326385
10071612,"Rua Diomar Monteiro, 3295",-21.68010974,-43.3219887
10069556,"Avenida Juiz de Fora, 587",-21.70724753,-43.36021428
10071584,"Rua Diomar Monteiro, 1055",-21.69040248,-43.33964181
10069555,Avenida Juiz de Fora,-21.70212107,-43.35871557
10073797,"Rua Diomar Monteiro, 85",-21.69066028,-43.3491388
11939613,"Rua Diomar Monteiro, 600",-21.68391782,-43.32743187
10071510,"Avenida Orlando Riani, 735",-21.67038463,-43.31149447
10071642,"Rua Diomar Monteiro, 1515",-21.69126376,-43.33446264
10071608,"Rua Diomar Monteiro, 3175",-21.68140071,-43.32397479
10069576,"Avenida Juiz de Fora, 961",-21.72709791,-43.35581488
10069561,"Avenida Juiz de Fora, 407",-21.69557935,-43.35519683
10070849,"Avenida Barão do Rio Branco, 1896",-21.75856372,-43.35045248
10069578,"Avenida Juiz de Fora, 1529",-21.72539699,-43.35148096
10071639,"Rua Diomar Monteiro, 1225",-21.69127692,-43.33757659
10069553,"Avenida Juiz de Fora, 495",-21.70898318,-43.35962935
10071628,"Rua Diomar Monteiro, 2901",-21.68251969,-43.32565874
10070776,"Avenida Barão do Rio Branco, 5016",-21.78375626,-43.34384155
10070269,Rua José Aureliano de Holanda,-21.68030479,-43.31859481
10070279,Rua Engenheiro Kurt Zoet,-21.68055916,-43.32006836
10069570,"Rua Paracatu, 155",-21.73373985,-43.35785294
10071599,"Rua Diomar Monteiro, 221",-21.69094508,-43.34767914
10073238,"Avenida Juiz de Fora, 701",-21.69425832,-43.35321504
10071535,"Rua Aníbal Beligoli, 407 - Ponto Final da Linha 101",-21.66623689,-43.30478525
10069577,"Avenida Juiz de Fora, 685",-21.72872222,-43.3566326
10071529,"Avenida Orlando Riani, 333",-21.67255003,-43.31617654
10070856,"Avenida Barão do Rio Branco, 4900",-21.78282758,-43.34418451
10070854,"Avenida Barão do Rio Branco, 2900",-21.7676287,-43.34809429
10074078,Rua Engenheiro Kurt Zoet,-21.67821884,-43.31966019
10069562,"Avenida Juiz de Fora, 1065",-21.69178009,-43.3510738
10069584,"Avenida Juiz de Fora, 967",-21.70967674,-43.35701752
10074071,Rua H,-21.68021024,-43.31569707
10070912,"Avenida Barão do Rio Branco, 950",-21.74750417,-43.35329926
10070848,"Avenida Barão do Rio Branco, 1200",-21.74943617,-43.35280842
10070853,"Avenida Barão do Rio Branco, 2570",-21.76458928,-43.34887789
10069582,"Avenida Juiz de Fora, 839",-21.71077538,-43.35544586
